pH,Temperature,Time,Zn_Concentration,Plant_Extract,XRD_Size,UV_Bandgap,DLS_Size,PDI,Zeta_Potential,SEM_Size,Degradation
8.0,56.0,4.3,0.19,7.7,37.9,3.2,63.2,0.28,-17.5,45.9,55.7
10.0,48.0,2.3,0.27,6.3,34.6,3.2,61.7,0.32,-17.3,42.1,50.9
6.7,68.0,4.6,0.15,24.8,33.2,3.23,55.6,0.18,-33.4,40.2,68.0
7.6,87.0,2.6,0.08,11.4,37.9,3.2,59.5,0.24,-22.3,44.6,57.3
9.3,75.0,1.0,0.06,21.2,29.2,3.24,48.8,0.14,-30.0,34.0,71.3
6.6,69.0,4.6,0.24,10.1,45.6,3.19,73.0,0.21,-20.9,51.4,51.3
5.9,45.0,1.4,0.21,18.6,31.3,3.26,47.9,0.22,-23.6,38.2,62.9
6.9,71.0,2.3,0.23,20.2,37.4,3.21,59.3,0.16,-27.6,42.6,60.0
6.3,90.0,4.8,0.1,16.9,41.8,3.17,68.9,0.15,-24.2,49.5,55.6
10.1,47.0,4.8,0.08,14.4,30.7,3.26,48.0,0.25,-24.2,36.2,60.5
9.5,66.0,3.3,0.05,13.2,36.3,3.18,60.6,0.32,-22.0,41.8,49.2
8.7,84.0,3.5,0.14,12.0,36.1,3.2,58.9,0.25,-22.6,44.0,58.0
9.9,77.0,2.8,0.2,23.6,30.6,3.24,48.3,0.19,-35.4,35.5,73.6
9.5,75.0,2.2,0.15,21.6,30.7,3.23,47.9,0.18,-30.2,35.9,61.0
6.4,75.0,2.3,0.16,24.3,32.8,3.24,51.2,0.15,-32.9,37.9,65.9
10.0,58.0,3.7,0.28,7.5,39.7,3.23,59.2,0.32,-21.1,46.3,55.4
8.2,55.0,4.0,0.14,19.6,32.8,3.27,43.1,0.18,-27.6,35.1,73.8
9.5,80.0,4.2,0.18,23.8,32.0,3.23,56.8,0.17,-30.3,38.5,67.5
10.0,81.0,4.2,0.25,8.6,40.2,3.19,62.3,0.29,-20.8,48.0,50.0
7.1,83.0,1.4,0.15,6.3,41.5,3.2,64.1,0.28,-17.0,49.7,48.8
6.1,86.0,3.0,0.21,19.8,40.0,3.2,58.1,0.22,-24.5,47.8,62.2
6.6,66.0,1.2,0.27,16.5,34.6,3.22,54.2,0.21,-25.0,41.6,59.0
7.6,65.0,3.2,0.29,21.8,32.9,3.24,46.0,0.15,-25.0,37.0,63.7
9.6,80.0,2.8,0.09,7.8,37.7,3.23,62.2,0.3,-18.9,42.4,53.9
9.8,72.0,4.6,0.28,20.9,33.6,3.24,57.4,0.16,-34.1,40.3,63.7
5.5,75.0,2.4,0.17,9.0,41.0,3.19,64.6,0.28,-17.4,49.4,50.9
8.1,80.0,1.5,0.11,8.3,43.2,3.18,74.4,0.28,-18.9,50.1,55.0
7.6,85.0,1.6,0.16,8.3,37.5,3.22,63.6,0.32,-16.9,44.9,54.2
6.6,57.0,4.0,0.3,21.3,39.3,3.19,60.2,0.19,-28.0,45.3,60.3
6.1,59.0,3.5,0.17,18.3,37.0,3.24,50.8,0.2,-27.0,43.2,60.7
7.2,45.0,1.4,0.13,15.5,30.1,3.25,57.5,0.25,-27.4,37.5,59.5
10.2,69.0,1.3,0.21,12.2,34.5,3.28,47.7,0.29,-24.3,38.4,64.5
7.1,42.0,3.8,0.11,22.5,32.4,3.24,43.1,0.19,-32.3,35.6,69.2
8.1,63.0,1.3,0.07,12.8,33.0,3.27,56.7,0.25,-24.5,39.7,60.7
9.0,67.0,4.3,0.08,21.3,32.1,3.24,59.0,0.14,-29.4,38.3,76.0
7.3,54.0,3.8,0.08,13.8,36.5,3.2,61.5,0.21,-20.4,42.5,58.5
10.4,70.0,1.3,0.09,12.5,32.3,3.24,52.3,0.24,-23.4,37.5,59.4
10.3,42.0,1.3,0.08,14.3,27.1,3.28,43.6,0.22,-28.0,31.0,66.9
6.8,42.0,4.9,0.21,11.0,42.0,3.2,65.5,0.26,-20.3,46.6,57.5
8.0,81.0,2.5,0.1,20.0,33.6,3.24,56.0,0.19,-26.6,39.8,64.5
7.0,58.0,2.5,0.14,15.1,31.7,3.23,52.7,0.25,-25.8,38.4,58.4
6.9,46.0,4.3,0.27,9.6,37.2,3.2,62.0,0.27,-20.4,45.7,56.8
5.7,66.0,4.8,0.17,23.0,36.6,3.25,59.3,0.18,-30.2,44.1,62.0
8.5,78.0,4.9,0.22,12.7,41.0,3.21,62.9,0.25,-25.0,48.3,60.9
8.0,51.0,4.0,0.09,15.9,35.3,3.24,51.8,0.16,-24.4,39.0,65.6
5.8,71.0,2.5,0.1,23.1,32.8,3.23,48.0,0.14,-30.6,39.3,65.4
6.9,44.0,1.3,0.06,17.5,31.0,3.26,48.4,0.21,-25.6,36.1,69.3
